,url_original,url,Adversarial_Attack,Family_Name,DGA_Attack,DGA_Attack_Binary,MaskDGA_Iteration,sub_model_benign_prob,substitute_model
0,xfjezpoyglwzyzkqi.com,dcje19bbglwmytkia.com,Random_No model,qadars,Random_No model,1,0,0.44636434,No model
1,ibet5bgd5p5li8i.ddns.net,iie-zi5d575li8i.ddns.net,Random_No model,dnschanger,Random_No model,1,0,0.9975483,No model
2,k7yjak1rx2uo1ngs5sbwkikrg.net,i3yzdkarqyuo16jx5pb-kykrg.net,Random_No model,,Random_No model,1,0,0.84537554,No model
3,yourcome.net,-ourcome.net,Random_No model,,Random_No model,1,0,0.9991642,No model
4,stuxdgxgwtjakjrdy.su,suuxdgxguo7mcjpjy.su,Random_No model,,Random_No model,1,0,0.0725741,No model
5,ampsmsapeirmst.ddns.net,ap1smsapeirist.ddns.net,Random_No model,,Random_No model,1,0,0.75780004,No model
6,gadezebaxajoxalu.com,g8dvf22axejox9ls.com,Random_No model,,Random_No model,1,0,0.47149432,No model
7,scjtlilx.net,scjclqvx.net,Random_No model,,Random_No model,1,0,0.44785437,No model
8,6g20y0ysa0qo.top,60s0ykpsa2wo.top,Random_No model,,Random_No model,1,0,0.42377114,No model
9,ixemuejrrxgp.ru,iheehsq3zx1t.ru,Random_No model,,Random_No model,1,0,0.29994804,No model
10,nvlfanzmjpvrkyhpjcapvxcnvtx.com,nvmq64zmjr14k3opicrivn0nvix.com,Random_No model,,Random_No model,1,0,0.34626684,No model
11,aahrdjjrwfh.info,q22rcjarwth.info,Random_No model,,Random_No model,1,0,0.24199504,No model
12,ccmdfcbfdcdblola.com,ccddmctz2cpwlnsn.com,Random_No model,,Random_No model,1,0,0.062347785,No model
13,uoruiddvwdwuihkul.me,boguisdvwbw8ihvut.me,Random_No model,,Random_No model,1,0,0.11705758,No model
14,ggupitmcfz.com,ogk2itlcfz.com,Random_No model,,Random_No model,1,0,0.45967203,No model
15,nbacdddeccffmkbo.online,ndgcxdde4lofokbo.online,Random_No model,,Random_No model,1,0,0.49487534,No model
16,skjzlfgidulcypdmfofxwooffy.org,fsj658gidalcipgm-o2xwqoehy.org,Random_No model,,Random_No model,1,0,0.8803244,No model
17,dluiilgadjqgaasik.net,dliiilgodx04aas60.net,Random_No model,,Random_No model,1,0,0.52991605,No model
18,jxhwkhmsza.net,airwk16szw.net,Random_No model,,Random_No model,1,0,0.48036686,No model
19,wwypddbcoodl.com,owypdd0c90d8.com,Random_No model,,Random_No model,1,0,0.64814246,No model
20,wfotsvaxyh.com,wfs0j3g3yh.com,Random_No model,,Random_No model,1,0,0.2523013,No model
21,kbtpjnrqwxuomcmltorolbgqeuh.ru,ebepjiryexuo7cwltoy1rw7i6nh.ru,Random_No model,,Random_No model,1,0,0.24962853,No model
22,vofedicujejidowe.com,vuref2mujenidowe.com,Random_No model,pykspa,Random_No model,1,0,0.45393273,No model
23,kfnfoflacmbkcbda.de,k3nfoflgcm2gj9dc.de,Random_No model,,Random_No model,1,0,0.26301935,No model
24,tsmtesebctspxpet.ddns.net,t5m0eoej4dsp5pez.ddns.net,Random_No model,,Random_No model,1,0,0.16228028,No model
25,qkuaqigimcakaqom.org,q1ubqrr0u2akzzom.org,Random_No model,,Random_No model,1,0,0.14700066,No model
26,wzxddtacavxxvo.info,zzxl6x6bat-xyg.info,Random_No model,,Random_No model,1,0,0.9429263,No model
27,seactcorts.ddns.net,5ea1tqnr7x.ddns.net,Random_No model,,Random_No model,1,0,0.59132993,No model
28,dmnptsaqwszfiayvgaqlffcyjbey.biz,d9uqtrrtsqzfiajvgdalx7ckjdev.biz,Random_No model,padcrypt,Random_No model,1,0,0.022454532,No model
29,imnddvvdvwkbymmdjbtd.net,ern0aivdvwkmyu7djgtd.net,Random_No model,,Random_No model,1,0,0.048187397,No model
30,1keicmm3km5bj9s6w1h1hwt06p.net,bkiicqm37m5bj3s6wnsovwo0-b.net,Random_No model,,Random_No model,1,0,0.6424883,No model
31,wmw2c6s2828m.org,wmw2c6se8286.org,Random_No model,proslikefan,Random_No model,1,0,0.08588958,No model
32,thoughttoward.net,mnylghtto02rx.net,Random_No model,,Random_No model,1,0,0.3110156,No model
33,bdlkamncnenenemd.website,nd58a-9ceen-9nid.website,Random_No model,,Random_No model,1,0,0.9999938,No model
34,enoobnabedlkfncd.co,en9irkab84dsfkcr.co,Random_No model,,Random_No model,1,0,0.6908216,No model
35,alongtell.net,clpemt88l.net,Random_No model,,Random_No model,1,0,0.7423619,No model
36,pufitalaviny.com,suftvaynvin7.com,Random_No model,,Random_No model,1,0,0.74554485,No model
37,lbncnfadlfecaaff.cc,lbmz1fcdlfocaaff.cc,Random_No model,,Random_No model,1,0,0.16029835,No model
38,ydopuoayyfywbqqcb.com,ydejyrapy1ywtoqck.com,Random_No model,,Random_No model,1,0,0.110854626,No model
39,ugeavfdrcvuajyrsa.tw,og7axi3ocvqlayusa.tw,Random_No model,,Random_No model,1,0,0.47138992,No model
40,roondkhpe.org,5kugddhue.org,Random_No model,,Random_No model,1,0,0.58929724,No model
41,filawtwgcrtxu.nu,sxsa3jvcvrtx1.nu,Random_No model,,Random_No model,1,0,0.12550415,No model
42,lkvaelzpwcovugpdidqtpnond.net,3kvuea1gh-oso2zvq2q6pnend.net,Random_No model,,Random_No model,1,0,0.65175194,No model
43,wqkag6s2420i.net,wqkzp6s542jt.net,Random_No model,ranbyus,Random_No model,1,0,0.13126767,No model
44,yvssosasrrkvgng.info,kgs6-aasj5kdgz4.info,Random_No model,,Random_No model,1,0,0.9596031,No model
45,wlgxicapoldghvgncicnnfgq.biz,r4qxn1a89l1bhvgncic7nfgu.biz,Random_No model,,Random_No model,1,0,0.19405486,No model
46,bofbfbodfobfcbaa.com,boubfbodbjbfobwj.com,Random_No model,,Random_No model,1,0,0.22743991,No model
